Disease,Symptoms
Cough,"Sore throat, chest congestion"
Diabetes,"Frequent urination, fatigue"
Hypertension,"High blood pressure, stress"
Migraine,"Severe headache, nausea"
Arthritis,"Joint pain, swelling"
Common Cold,"Runny nose, sneezing, mild fever"
Indigestion,"Bloating, abdominal discomfort"
Asthma,"Wheezing, shortness of breath"
Constipation,"Hard stools, infrequent bowel movement"
Insomnia,"Difficulty sleeping, restlessness"
Obesity,"Weight gain, lethargy"
Skin Allergy,"Itchy rash, redness"
Anxiety,"Excessive worry, restlessness"
Fever,"High temperature, body aches"
Acidity,"Heartburn, sour taste, nausea"
Acne,"Pimples, blackheads, oily skin"
Acromegaly,"Enlarged hands/feet, thickened skin"
Acute Kidney Injury,"Reduced urine output, swelling, confusion"
Addison's Disease,"Fatigue, low blood pressure, weight loss"
Adrenal Insufficiency,"Fatigue, muscle weakness, low energy"
Alkaptonuria,"Dark urine, joint pain, stiffness"
Allergies,"Sneezing, itching, rashes"
Alopecia,"Hair loss, thinning of scalp"
Alzheimer's Disease,"Memory loss, confusion, difficulty thinking"
Amebiasis,"Abdominal pain, diarrhea, fever"
Amyotrophic Lateral Sclerosis (ALS),"Muscle weakness, difficulty swallowing, speech problems"
Anxiety,"Restlessness, nervousness, rapid breathing"
Argininemia,"Muscle weakness, intellectual disability"
Argininosuccinic Aciduria,"Poor growth, intellectual disability"
Arrhythmia,"Irregular heartbeat, palpitations, dizziness"
Arthritis,"Joint pain, stiffness, swelling"
Ascariasis,"Abdominal pain, nausea, intestinal discomfort"
Asparagine Synthetase Deficiency,"Developmental delays, epilepsy"
Aspartylglucosaminuria,"Growth delay, intellectual disability"
Asthma,"Wheezing, shortness of breath, chest tightness"
Atherosclerosis,"Chest pain, fatigue, high cholesterol"
Autosomal Dominant Polycystic Kidney Disease,"High blood pressure, kidney pain, frequent urination"
Back Pain,"Muscle stiffness, difficulty moving"
Barth Syndrome,"Muscle weakness, fatigue, delayed growth"
Arrhythmia,"Enlarged organs, low blood sugar, growth delays"
Arthritis,"Vision loss, difficulty focusing"
Ascariasis,"Seizures, skin rash, hearing loss"
Asparagine Synthetase Deficiency,"Fever, chest pain, cough"
Aspartylglucosaminuria,"Small stature, sensitivity to sunlight, skin rash"
Asthma,"Pain, swelling, difficulty moving"
Atherosclerosis,"Muscle weakness, difficulty swallowing, breathing"
Autosomal Dominant Polycystic Kidney Disease,"Lump in breast, skin changes, nipple discharge"
Back Pain,"Persistent cough, mucus production, chest pain"
Barth Syndrome,"Fever, joint pain, fatigue"
Brugada Syndrome,"Fainting, irregular heartbeat, chest pain"
Bubonic Plague,"Fever, chills, swollen lymph nodes"
Buruli Ulcer,"Skin ulcers, pain, fever"
COVID-19,"Fever, cough, difficulty breathing"
Canavan Disease,"Muscle weakness, difficulty swallowing, seizures"
Carbamoyl Phosphate Synthetase I Deficiency Disease,"Poor feeding, vomiting, lethargy"
Cardiomyopathy,"Shortness of breath, fatigue, chest pain"
Carpal Tunnel Syndrome,"Numbness, tingling, hand weakness"
Celiac Disease,"Bloating, diarrhea, weight loss"
Cerebrotendinous Xanthomatosis,"Neurological issues, cataracts, tendon xanthomas"
Chagas Disease,"Fever, swelling, fatigue"
Chickenpox,"Itchy rashes, fever, tiredness"
Chikungunya,"Joint pain, fever, rash"
Chromoblastomycosis,"Skin lesions, swelling"
Chronic Kidney Disease (CKD),"Swelling, fatigue, reduced appetite"
Chronic Obstructive Pulmonary Disease (COPD),"Breathlessness, wheezing, fatigue"
Ciguatera Poisoning,"Nausea, diarrhea, muscle pain"
Clonorchiasis,"Abdominal pain, jaundice, diarrhea"
Coffin-Lowry Syndrome,"Developmental delays, weak muscle tone"
Cold,"Sneezing, runny nose, congestion"
Colorectal Cancer,"Changes in bowel habits, abdominal pain"
Constipation,"Irregular bowel movements, bloating"
Contact Dermatitis,"Redness, itching, swelling"
Coronary Artery Disease,"Chest pain, shortness of breath, fatigue"
Costello Syndrome,"Growth delay, developmental issues"
Cough,"Sore throat, dry or wet cough"
Crigler-Najjar Syndrome,"Jaundice, yellowing of skin and eyes"
Crimean-Congo Hemorrhagic Fever,"Fever, muscle pain, bleeding"
Crohn's Disease,"Abdominal pain, diarrhea, weight loss"
Cryptosporidiosis,"Watery diarrhea, nausea, abdominal pain"
Cushing's Syndrome,"Weight gain, fatigue, high blood pressure"
Cystic Fibrosis,"Persistent cough, lung infections, poor growth"
Cysticercosis,"Seizures, muscle pain, headaches"
Cystinosis,"Weakness, kidney issues, vision problems"
Dandruff,"Scalp itchiness, flaking"
Dementia,"Memory loss, confusion, difficulty concentrating"
Dengue Fever,"High fever, joint pain, skin rash"
Dengue Hemorrhagic Fever,"High fever, bleeding, abdominal pain"
Dentinogenesis Imperfecta,"Discolored teeth, fragile enamel"
Depression,"Sadness, loss of interest, fatigue"
Desbuquois Dysplasia,"Short stature, joint contractures, skeletal dysplasia"
Diabetes,"Frequent urination, excessive thirst, fatigue"
Diabetes Mellitus Type 1 and Type 2,"Increased thirst, frequent urination, fatigue"
Digestive Disorders,"Bloating, nausea, indigestion, discomfort after eating"
Dihydropyrimidine Dehydrogenase Deficiency,"Diarrhea, mouth sores, high blood pressure"
Diphtheria,"Sore throat, fever, difficulty breathing"
Down Syndrome,"Developmental delays, intellectual disability"
Dracunculiasis,"Painful ulcers, fever, nausea"
Duchenne Muscular Dystrophy,"Muscle weakness, difficulty walking"
Dyggve-Melchior-Clausen Syndrome,"Developmental delays, skeletal deformities"
Ebola,"High fever, vomiting, diarrhea, hemorrhage"
Ebola Virus,"Fever, chills, weakness, hemorrhaging"
Echinococcosis,"Abdominal pain, nausea, liver cysts"
Eczema (Atopic Dermatitis),"Itchy skin, red rashes, inflammation"
Emphysema,"Shortness of breath, chronic cough"
Endometriosis,"Pelvic pain, heavy periods, pain during intercourse"
Enterobiasis,"Itchy anus, digestive discomfort"
Epilepsy,"Seizures, confusion, loss of consciousness"
Fascioliasis,"Abdominal pain, fever, nausea, liver swelling"
Fever,"High temperature, chills, sweating"
Fibromyalgia,"Chronic pain, fatigue, sleep disturbances"
Filariasis,"Swelling, fever, lymph node enlargement"
Fragile X Syndrome,"Developmental delays, intellectual disability"
Gallstones,"Abdominal pain, nausea, indigestion"
Gastroesophageal Reflux Disease (GERD),"Heartburn, regurgitation, chest pain"
Giardiasis,"Diarrhea, nausea, bloating"
Glomerulonephritis,"Swelling, blood in urine, high blood pressure"
Gout,"Joint pain, swelling, redness, especially in big toe"
Graves Disease,"Hyperthyroidism, weight loss, nervousness, heat intolerance"
Guillain-Barre Syndrome,"Weakness, numbness, tingling in limbs, difficulty breathing"
Guinea Worm Disease,"Painful blisters, swelling, fever"
HIV/AIDS,"Weight loss, fever, diarrhea, swollen lymph nodes"
Hair Loss,"Thinning of hair, bald patches"
"Hand, Foot, and Mouth Disease","Rash on hands, feet, mouth sores, fever"
Hantavirus Pulmonary Syndrome,"Fever, fatigue, shortness of breath, muscle aches"
Hashimoto's Thyroiditis,"Fatigue, weight gain, sensitivity to cold"
Heart Attack (Myocardial Infarction),"Chest pain, shortness of breath, dizziness"
Heart Disease,"Chest pain, fatigue, shortness of breath"
Heart Failure,"Shortness of breath, swelling in legs, fatigue"
Hemochromatosis,"Fatigue, joint pain, liver enlargement"
Hemophilia,"Unexplained bleeding, easy bruising"
Hendra Virus Infection,"Fever, headache, respiratory symptoms"
Hepatitis,"Yellowing of skin, fatigue, loss of appetite"
Hepatitis A,"Jaundice, fever, abdominal pain"
Hepatitis B,"Jaundice, fatigue, abdominal pain, dark urine"
Hepatitis C,"Fatigue, nausea, dark urine, jaundice"
Histoplasmosis,"Cough, fever, chest pain, difficulty breathing"
Hookworm Infection,"Abdominal pain, nausea, diarrhea"
Huntington's Disease,"Movement problems, mood swings, cognitive decline"
Hydronephrosis,"Swelling, abdominal pain, painful urination"
Hypercholesterolemia,"High cholesterol, chest pain, fatigue"
Hyperparathyroidism,"Weak bones, kidney stones, fatigue"
Hypertension,"High blood pressure, headaches, dizziness"
Hyperthyroidism,"Weight loss, anxiety, tremors, rapid heartbeat"
Hypoglycemia,"Shakiness, sweating, dizziness, confusion"
Hypothyroidism,"Fatigue, weight gain, cold intolerance, dry skin"
Indigestion,"Bloating, nausea, discomfort after eating"
Inflammation,"Redness, heat, swelling, pain"
Inflammatory Bowel Disease (IBD),"Abdominal pain, diarrhea, weight loss, fatigue"
Influenza,"Fever, sore throat, body aches, fatigue"
Insomnia,"Difficulty falling asleep, restless mind"
Irritable Bowel Syndrome (IBS),"Abdominal cramps, bloating, diarrhea or constipation"
Joint Pain,"Swelling, stiffness, pain in joints"
Kala-azar,"Fever, weight loss, fatigue, enlarged spleen or liver"
Kawasaki Disease,"Fever, skin rash, swollen lymph nodes, red eyes"
Kearns-Sayre Syndrome,"Muscle weakness, heart problems, eye issues"
Kidney Cancer,"Blood in urine, pain in back or abdomen, fatigue"
Kidney Stones,"Severe pain in the back or side, blood in urine"
Kleine-Levin Syndrome,"Recurrent episodes of excessive sleep, altered behavior"
Klinefelter Syndrome,"Infertility, enlarged breasts, low testosterone"
Krabbe Disease,"Muscle weakness, loss of motor skills, irritability"
Kyasanur Forest Disease,"Fever, headache, body ache, bleeding"
Langerhans Cell Histiocytosis,"Skin rashes, bone pain, swollen lymph nodes"
Larsen Syndrome,"Joint dislocations, short stature, skeletal deformities"
Lassa Fever,"Fever, bleeding, cough, muscle pain"
Leigh Syndrome,Progressive loss of mental and movement abilities
Leishmaniasis,"Skin ulcers, fever, weight loss, swollen spleen"
Leprosy,"Skin lesions, nerve damage, muscle weakness"
Leptospirosis,"Fever, headache, muscle pain, jaundice"
Lesch-Nyhan Syndrome,"Self-injurious behavior, kidney stones, muscle rigidity"
Leukemia,"Fatigue, unexplained weight loss, frequent infections"
Leukodystrophy,"Muscle weakness, vision problems, difficulty with coordination"
Liddle Syndrome,"High blood pressure, low potassium levels, alkalosis"
Lipid Storage Disease,"Enlarged liver, spleen, muscle weakness"
Liver Cancer,"Abdominal pain, weight loss, jaundice"
Liver Cirrhosis,"Fatigue, swelling, nausea, jaundice"
Liver Disorders,"Fatigue, loss of appetite, yellowing of the skin"
Loeys-Dietz Syndrome,"Arterial aneurysms, joint problems, skin changes"
Loiasis,"Swelling, eye pain, itching, fever"
Lowe Syndrome,"Cataracts, developmental delay, kidney problems"
Lung Cancer,"Chronic cough, chest pain, shortness of breath"
Lupus,"Joint pain, fatigue, skin rashes, photosensitivity"
Lyme Disease,"Fever, headache, fatigue, bull's-eye rash"
Lymphatic Filariasis,"Swelling in legs, arms, genital area, fever"
Lymphoma,"Swollen lymph nodes, fever, night sweats, weight loss"
Maffucci Syndrome,"Multiple benign growths, bone deformities, vascular tumors"
Malaria,"Fever, chills, headache, nausea, sweating"
Mansonelliasis,"Abdominal pain, fatigue, fever, joint pain"
Maple Syrup Urine Disease,"Sweet-smelling urine, poor feeding, lethargy"
Marburg,"Fever, headache, muscle pain, bleeding"
Marburg Virus Disease,"Fever, headache, bleeding, abdominal pain"
Marfan Syndrome,"Long limbs, heart defects, vision problems"
McCune-Albright Syndrome,"Bone fractures, skin pigmentation, endocrine issues"
Measles,"Fever, cough, runny nose, red eyes, skin rash"
Melanoma,"Dark skin growth, asymmetrical mole, itching, bleeding"
Melioidosis,"Fever, chest pain, cough, abscesses"
Meningitis,"Sudden fever, headache, stiff neck, nausea"
Menkes Disease,"Poor growth, brittle hair, seizures, developmental delay"
Menopause,"Hot flashes, mood swings, night sweats, vaginal dryness"
Menstrual Disorders,"Irregular periods, heavy bleeding, cramps"
Mental Health Disorders,"Anxiety, depression, mood swings, lack of focus"
Mental Stress,"Fatigue, irritability, trouble sleeping, anxiety"
Metabolic Syndrome,"Abdominal obesity, high blood pressure, high blood sugar"
Migraine,"Severe headache, nausea, sensitivity to light/sound"
Miller-Dieker Syndrome,"Developmental delay, facial abnormalities, seizures"
Mitochondrial Myopathy,"Muscle weakness, fatigue, vision problems, hearing loss"
Monkeypox,"Fever, swollen lymph nodes, rash"
Mowat-Wilson Syndrome,"Developmental delay, facial abnormalities, seizures"
Mucolipidosis,"Enlarged organs, developmental delay, vision problems"
Mucopolysaccharidosis,"Joint stiffness, heart valve problems, developmental delay"
Multiple Sclerosis,"Muscle weakness, vision problems, difficulty walking"
Multiple Sulfatase Deficiency,"Developmental delay, seizures, vision problems"
Muscular Dystrophy,"Muscle weakness, difficulty walking, breathing problems"
Myasthenia Gravis,"Muscle weakness, drooping eyelids, difficulty swallowing"
Mycetoma,"Swelling, pain, skin ulcers, pus discharge"
Myotonia Congenita,"Muscle stiffness, difficulty relaxing muscles"
Naegleria Infection,"Severe headache, fever, nausea, stiff neck"
Nephrotic Syndrome,"Swelling, fatigue, foamy urine"
Neurofibromatosis,"Lumps on the skin, learning difficulties, vision issues"
Neurotoxocariasis,"Fever, cough, abdominal pain, muscle weakness"
Niemann-Pick Disease,"Enlarged liver and spleen, developmental delay, difficulty swallowing"
Nipah Virus Infection,"Fever, headache, dizziness, respiratory distress, confusion"
Noonan Syndrome,"Short stature, heart defects, developmental delay"
Obesity,"Excessive weight, fatigue, difficulty in physical activity"
Onchocerciasis (River Blindness),"Itchy skin, vision impairment, swollen lymph nodes"
Opistorchiasis,"Abdominal pain, nausea, fatigue, liver enlargement"
Osteoarthritis,"Joint pain, swelling, stiffness"
Osteogenesis Imperfecta,"Fragile bones, frequent fractures, skeletal deformities"
Osteopetrosis,"Bone pain, fractures, vision and hearing problems"
Osteoporosis,"Fragile bones, fractures, height loss"
Ovarian Cancer,"Abdominal bloating, pelvic pain, irregular periods"
Pancreatic Cancer,"Abdominal pain, weight loss, jaundice"
Pancreatitis,"Upper abdominal pain, nausea, vomiting"
Paracoccidioidomycosis,"Fever, cough, weight loss, enlarged lymph nodes"
Paragonimiasis,"Cough, fever, chest pain, blood in sputum"
Parkinson's Disease,"Tremors, muscle rigidity, slow movement, balance problems"
Pelvic Floor Disorders,"Urinary incontinence, pelvic pressure, constipation"
Peptic Ulcers,"Stomach pain, nausea, indigestion, bloating"
Peripheral Artery Disease,"Leg pain, cramping, numbness, slow wound healing"
Peutz-Jeghers Syndrome,"Mucocutaneous pigmentation, gastrointestinal polyps"
Pfeiffer Syndrome,"Craniofacial abnormalities, developmental delays"
Phenylketonuria (PKU),"Intellectual disability, developmental delay, eczema"
Pinta,"Skin lesions, joint pain, swelling"
Pitt-Hopkins Syndrome,"Developmental delay, breathing problems, facial abnormalities"
Pituitary Tumors,"Headaches, vision problems, hormonal imbalances"
Pneumoconiosis,"Shortness of breath, coughing, fatigue"
Pneumocystis Pneumonia,"Difficulty breathing, fever, cough"
Pneumonia,"Cough, fever, chest pain, difficulty breathing"
Pneumonic Plague,"Fever, chills, swollen lymph nodes, coughing with blood"
Polio,"Muscle weakness, paralysis, fever, headache"
Polycystic Kidney Disease,"Abdominal pain, high blood pressure, kidney enlargement"
Polycystic Ovary Syndrome (PCOS),"Irregular periods, excessive hair growth, weight gain"
Porphyria,"Abdominal pain, skin sensitivity, neurological issues"
Prader-Willi Syndrome,"Insatiable hunger, obesity, developmental delay"
Primary Amebic Meningoencephalitis,"Headache, fever, nausea, vomiting, stiff neck"
Primary Ciliary Dyskinesia,"Chronic respiratory infections, sinusitis, cough"
Prostate Cancer,"Urinary problems, pelvic pain, difficulty urinating"
Psoriasis,"Red, inflamed skin, scales, itching"
Pulmonary Hypertension,"Shortness of breath, dizziness, chest pain"
Q Fever,"High fever, chills, headache, muscle pain"
Rabies,"Fever, agitation, hallucinations, hydrophobia"
Relapsing Fever,"Recurrent fevers, headaches, muscle aches"
Renal Hypertension,"High blood pressure, headache, nausea, fatigue"
Respiratory Issues,"Shortness of breath, cough, wheezing"
Rett Syndrome,"Loss of motor skills, seizures, abnormal hand movements"
Rheumatic Heart Disease,"Chest pain, heart palpitations, difficulty breathing"
Rheumatoid Arthritis,"Joint pain, stiffness, swelling, fatigue"
Rickettsial Diseases,"Fever, rash, headache, muscle aches"
Rift Valley Fever,"Fever, headache, muscle pain, joint pain"
Rocky Mountain Spotted Fever,"Fever, rash, headache, muscle pain"
Rosacea,"Redness, visible blood vessels, pimples on the face"
Schistosomiasis,"Abdominal pain, diarrhea, blood in urine, fatigue"
Scoliosis,"Uneven shoulders, back pain, difficulty standing straight"
Seborrheic Dermatitis,"Red, itchy skin, dandruff, flakiness"
Septicemic Plague,"Fever, chills, swollen lymph nodes, septic shock"
Sexual Dysfunction,"Low libido, erectile dysfunction, premature ejaculation"
Sickle Cell Anemia,"Fatigue, pain, swelling in hands/feet, frequent infections"
Sjogren's Syndrome,"Dry mouth, dry eyes, joint pain, fatigue"
Skin Cancer (Melanoma),"Skin changes, irregular moles, itching, bleeding"
Skin Diseases,"Redness, irritation, itching, lesions"
"Skin Infections (Bacterial, Fungal, Viral)","Redness, swelling, itching, discharge"
Skin Rash,"Red, inflamed, itchy patches on the skin"
Sleep Apnea,"Loud snoring, choking during sleep, daytime fatigue"
Sleeping Sickness (Trypanosomiasis),"Fever, fatigue, headache, swollen lymph nodes"
Sparganosis,"Swelling, pain, ulcers, subcutaneous lumps"
Stroke,"Sudden numbness, weakness, confusion, difficulty speaking"
Strongyloidiasis,"Abdominal pain, diarrhea, skin rashes, cough"
Talaromycosis,"Fever, chest pain, difficulty breathing, skin lesions"
Tay-Sachs Disease,"Progressive loss of motor skills, seizures, blindness"
Tendinitis,"Pain, swelling, and stiffness in tendons"
Tetanus,"Muscle stiffness, spasms, difficulty swallowing"
Thalassemia,"Fatigue, pale skin, enlarged spleen, slow growth"
Toxocariasis,"Fever, abdominal pain, coughing, rash"
Toxoplasmosis,"Flu-like symptoms, muscle pain, rash"
Trachoma,"Eye irritation, swelling, blurred vision"
Trichinellosis,"Muscle pain, fever, swelling, headache"
Trichuriasis,"Abdominal pain, diarrhea, blood in stool"
Tuberculosis,"Persistent cough, chest pain, fatigue, night sweats"
Tularemia,"Fever, fatigue, swollen lymph nodes, cough"
Tungiasis,"Intense itching, swelling, presence of sand fleas"
Type 1 Diabetes,"Increased thirst, frequent urination, weight loss"
Typhus,"Fever, rash, headache, muscle aches"
Ulcerative Colitis,"Abdominal pain, diarrhea, blood in stool"
Urinary Tract Infections (UTIs),"Painful urination, frequent urge to urinate, cloudy urine"
Vitiligo,"Loss of skin pigment, white patches on skin"
West Nile Virus,"Fever, headache, body aches, rash"
Wilson's Disease,"Fatigue, tremors, jaundice, psychiatric symptoms"
Yaws,"Skin ulcers, bone pain, fever, swelling"
Yellow Fever,"Fever, chills, headache, nausea, jaundice"
Zika Virus,"Fever, rash, joint pain, conjunctivitis"
Zoonotic Malaria,"Fever, chills, body aches, headache"
Thyroid Disorders,"Fatigue, weight changes, mood swings, hair loss"
Alzheimer's Disease,"Memory loss, confusion, difficulty completing tasks"
Amyotrophic Lateral Sclerosis (ALS),"Muscle weakness, difficulty speaking, swallowing issues"
Atherosclerosis,"Chest pain, shortness of breath, dizziness, fatigue"
"Autoimmune Diseases (e.g., Lupus)","Fatigue, joint pain, skin rashes, kidney issues"
"Cancer (Breast Cancer, Lung Cancer, Prostate Cancer, etc.)","Pain, weight loss, fatigue, lumps or abnormal growths"
Cardiomyopathy,"Fatigue, shortness of breath, swelling of the legs and feet"
Chronic Fatigue Syndrome,"Fatigue, sleep disturbances, muscle pain, headache"
Cystic Fibrosis,"Persistent cough, lung infections, difficulty breathing"
Diabetes Mellitus,"Excessive thirst, frequent urination, blurred vision"
Epilepsy,"Seizures, confusion, loss of consciousness"
Fibromyalgia,"Chronic pain, fatigue, sleep disturbances, headaches"
Gallstones,"Abdominal pain, nausea, vomiting, bloating"
Glomerulonephritis,"Swelling, high blood pressure, dark urine, fatigue"
"Hepatitis (A, B, C)","Fatigue, jaundice, abdominal pain, nausea"
Heart Attack (Myocardial Infarction),"Chest pain, shortness of breath, sweating, dizziness"
Hepatitis,"Jaundice, fatigue, nausea, loss of appetite"
Hypertension,"High blood pressure, dizziness, headaches, shortness of breath"
Kidney Cancer,"Back pain, blood in urine, weight loss, fatigue"
Leprosy,"Skin lesions, nerve damage, numbness, muscle weakness"
Leukemia,"Fatigue, fever, weight loss, easy bruising, frequent infections"
Lymphoma,"Swollen lymph nodes, fever, night sweats, weight loss"
Malaria,"Fever, chills, sweats, headache, muscle pain"
Measles,"Fever, cough, rash, sore throat, red eyes"
Multiple Sclerosis,"Muscle weakness, coordination problems, vision issues"
Parkinson's Disease,"Tremors, stiffness, slow movement, balance problems"
Pneumocystis Pneumonia,"Cough, difficulty breathing, fever, chest pain"
Prostate Cancer,"Painful urination, blood in urine, pelvic pain"
Psoriasis,"Red patches, dry skin, itching, scales"
Sickle Cell Anemia,"Pain, fatigue, anemia, frequent infections"
Skin Cancer (Melanoma),"Changes in mole appearance, skin discoloration"
Tuberculosis,"Cough, weight loss, fever, night sweats"
Weight Loss,"Fatigue, unexplained weight loss, muscle loss"
Weight Gain,"Unexplained weight gain, fatigue, bloating"
Acanthosis Nigricans,"Darkened skin in folds, thickened skin"
Addison's Disease,"Fatigue, weight loss, low blood pressure"
Adrenal Insufficiency,"Fatigue, low blood pressure, dizziness"
Alkaptonuria,"Dark urine, arthritis, heart issues"
Anemia,"Fatigue, pale skin, shortness of breath"
Angina,"Chest pain, shortness of breath, dizziness"
Anxiety Disorder,"Restlessness, excessive worry, irritability"
Aortic Aneurysm,"Chest pain, shortness of breath, dizziness"
Aphasia,Difficulty speaking or understanding speech
Asthma,"Difficulty breathing, wheezing, coughing"
Atopic Dermatitis,"Red, itchy skin, dry skin"
Autoimmune Hepatitis,"Fatigue, jaundice, nausea, abdominal pain"
Bacterial Infections,"Fever, chills, fatigue"
Bipolar Disorder,"Mood swings, depressive episodes, manic episodes"
Bladder Cancer,"Painful urination, blood in urine"
Brain Tumors,"Headaches, nausea, seizures"
Bronchiectasis,"Chronic cough, sputum production, wheezing"
Candidiasis,"Itchy skin, white patches, burning sensation"
Celiac Disease,"Diarrhea, bloating, weight loss"
Cerebral Palsy,"Muscle weakness, spasticity, difficulty with movement"
Chronic Fatigue Syndrome,"Extreme tiredness, muscle aches, sleep problems"
Chronic Sinusitis,"Nasal congestion, facial pain, headaches"
Cirrhosis,"Jaundice, fatigue, abdominal pain"
Cleft Lip and Palate,"Difficulty eating, speech problems"
Cold Sores,Blisters on lips or around the mouth
Colorectal Cancer,"Abdominal pain, blood in stool, weight loss"
Conjunctivitis,"Red eyes, itchy eyes, eye discharge"
COPD (Chronic Obstructive Pulmonary Disease),"Shortness of breath, wheezing, chronic cough"
Coronary Artery Disease,"Chest pain, shortness of breath, fatigue"
Crohn's Disease,"Abdominal pain, diarrhea, fatigue"
Cystitis,"Painful urination, frequent urge to urinate"
Depression,"Low mood, fatigue, loss of interest in activities"
Dementia,"Memory loss, confusion, difficulty concentrating"
Diabetic Neuropathy,"Numbness, tingling, pain in limbs"
Diverticulitis,"Abdominal pain, bloating, constipation"
Dyslipidemia,"Elevated cholesterol levels, fatigue, chest pain"
Ear Infections,"Ear pain, fluid drainage, hearing loss"
Epilepsy,"Seizures, confusion, muscle spasms"
Erectile Dysfunction,Difficulty achieving or maintaining an erection
Gallbladder Disease,"Abdominal pain, nausea, vomiting, jaundice"
Gastroenteritis,"Diarrhea, vomiting, abdominal cramps"
Gingivitis,"Red, swollen gums, bleeding while brushing"
Glaucoma,"Blurred vision, eye pain, headache"
Goiter,"Swelling in the neck, difficulty swallowing"
Gout,"Joint pain, swelling, redness, especially in the big toe"
Graves' Disease,"Weight loss, rapid heartbeat, anxiety, bulging eyes"
Hepatitis,"Jaundice, fatigue, abdominal pain, nausea"
Herpes Simplex Virus (HSV),"Blisters, itching, pain, typically around the mouth or genital area"
Hidradenitis Suppurativa,"Painful lumps under the skin, abscesses, drainage"
Hodgkin's Lymphoma,"Swollen lymph nodes, fever, night sweats"
Hyperlipidemia,"Elevated cholesterol, fatigue, chest pain"
Hypothyroidism,"Fatigue, weight gain, cold intolerance, depression"
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, diarrhea or constipation"
Kidney Stones,"Severe pain, blood in urine, nausea"
Lupus,"Fatigue, joint pain, skin rashes, photosensitivity"
Lymphadenopathy,"Swollen lymph nodes, fever, night sweats"
Meniere's Disease,"Vertigo, hearing loss, tinnitus, fullness in the ear"
Menstrual Disorders,"Irregular periods, pain, heavy flow"
Multiple Myeloma,"Bone pain, weakness, fatigue, frequent infections"
Myocardial Infarction (Heart Attack),"Chest pain, shortness of breath, nausea"
Nasal Polyps,"Nasal congestion, loss of smell, sinus pressure"
Osteoporosis,"Back pain, height loss, fractures"
Pancreatitis,"Upper abdominal pain, nausea, vomiting, fever"
Peptic Ulcers,"Abdominal pain, bloating, nausea"
Pneumonia,"Cough, fever, shortness of breath, chest pain"
Polycythemia Vera,"Headache, dizziness, fatigue, high red blood cell count"
Post-Traumatic Stress Disorder (PTSD),"Flashbacks, nightmares, anxiety, depression"
Prostate Enlargement (Benign Prostatic Hyperplasia),"Frequent urination, difficulty urinating, weak stream"
Psoriatic Arthritis,"Joint pain, swelling, skin rashes, stiffness"
Raynaud's Disease,"Color changes in fingers and toes, coldness, numbness"
Rheumatoid Arthritis,"Joint pain, swelling, stiffness, fatigue"
Sciatica,"Lower back pain, pain radiating down the leg"
Sinusitis,"Nasal congestion, facial pain, headache"
Skin Infections,"Redness, swelling, pus, pain"
Sleep Apnea,"Loud snoring, interrupted breathing, fatigue"
Spinal Cord Injury,"Loss of movement, pain, numbness, paralysis"
Spondylosis,"Neck or back pain, stiffness, muscle weakness"
Stomach Cancer,"Abdominal pain, weight loss, nausea, loss of appetite"
Strep Throat,"Sore throat, fever, swollen lymph nodes"
Stress,"Anxiety, fatigue, headaches, irritability"
Stroke,"Sudden numbness, confusion, difficulty speaking, loss of balance"
Systemic Lupus Erythematosus (SLE),"Fatigue, joint pain, skin rashes, photosensitivity"
Testicular Cancer,"Lump in testicle, pain or swelling, heaviness in scrotum"
Thyroid Cancer,"Neck lump, hoarseness, difficulty swallowing, weight loss"
Tinnitus,"Ringing in the ears, hearing loss, ear fullness"
Tuberculosis,"Cough, fever, weight loss, night sweats"
Urinary Tract Infection (UTI),"Painful urination, frequent urination, lower abdominal pain"
Varicose Veins,"Swollen, twisted veins, pain, heaviness in legs"
Viral Infections,"Fever, fatigue, cough, body aches"
Whipple's Disease,"Abdominal pain, weight loss, diarrhea, malabsorption"
Wilson’s Disease,"Jaundice, tremors, difficulty walking, psychiatric symptoms"
Worm Infections,"Abdominal pain, diarrhea, weight loss, bloating"
Yeast Infections,"Itching, discharge, redness, swelling"
Zika Virus,"Fever, rash, joint pain, conjunctivitis"
Zoonotic Infections,"Fever, chills, nausea, muscle aches, skin rash"
Bell's Palsy,"Facial drooping, loss of taste, difficulty closing eyes"
Bipolar Disorder,"Extreme mood swings, depression, mania"
Crohn’s Disease,"Abdominal pain, diarrhea, fatigue"
Cystic Fibrosis,"Difficulty breathing, frequent lung infections, digestive issues"
Dengue Fever,"High fever, rash, joint pain, muscle pain"
Diabetic Retinopathy,"Blurred vision, vision loss"
Hodgkin’s Lymphoma,"Swollen lymph nodes, fever, night sweats, weight loss"
